User-ID,ISBN,Book-Rating
277427,002542730X,10
277427,006092988X,0
277427,006440188X,0
277427,014029628X,0
277427,014100018X,0
277427,031298328X,0
277427,038081904X,9
277427,038548951X,0
277427,039304016X,8
277427,042514755X,0
277427,042518627X,0
277427,043936213X,0
277427,044011585X,0
277427,067091021X,0
277427,067101417X,0
277427,067941388X,0
277427,080410753X,0
277427,080411918X,0
277427,1400031354,0
277427,1400034779,0
277427,1551668157,0
277427,1565075722,10
278418,006015957X,0
278418,006016848X,0
278418,006109398X,0
278418,006109921X,0
278418,014025448X,0
278418,014034294X,0
278418,031298250X,0
278418,034530988X,0
278418,034538184X,0
278418,034538475X,0
278418,037382503X,0
278418,038076654X,0
278418,038549081X,0
278418,038550120X,0
278418,042513525X,5
278418,042513699X,0
278418,042518630X,7
278418,044011585X,0
278418,044020271X,0
278418,044021145X,0
278418,044021422X,0
278418,044022473X,0
278418,044023669X,0
278418,044023722X,0
278418,044040665X,0
278418,044651652X,0
278418,044661095X,0
278418,044922046X,0
278418,051512608X,0
278418,055321277X,0
278418,055321330X,0
278418,055327824X,0
278418,055329170X,0
278418,055356451X,0
278418,055356773X,0
278418,055357227X,0
278418,055357230X,0
278418,055357258X,0
278418,059030271X,0
278418,059045367X,0
278418,059048348X,0
278418,059056885X,0
278418,067164257X,0
278418,067172262X,0
278418,067187098X,0
278418,068416325X,0
278418,074343627X,0
278418,080410526X,0
278418,1551664275,0
278418,1551668122,0
278418,1551668270,0
278418,155166884X,0
278418,1559029838,0
278418,1853260053,0
278418,1853260061,0
254,006000438X,0
254,014028009X,0
254,014100018X,0
254,038533348X,0
254,038542017X,0
254,043935806X,0
254,044018293X,0
254,051510521X,0
254,051512317X,0
254,051513287X,0
254,067976402X,0
254,080410753X,0
254,1551667894,0
254,1551667959,0
254,1563898586,0
254,1573226882,0
3363,002542730X,0
3363,006098824X,10
3363,006447187X,0
3363,014027927X,0
3363,034531221X,0
3363,034536208X,0
3363,037325024X,0
3363,037325041X,0
3363,037570504X,0
3363,037582233X,0
3363,038072152X,0
3363,038072880X,0
3363,038533656X,0
3363,038542471X,0
3363,042517736X,0
3363,044022313X,0
3363,044652087X,10
3363,051513287X,0
3363,055323370X,10
3363,059045899X,0
3363,060980619X,0
3363,067187098X,0
3363,080410526X,0
3363,080411868X,0
3363,081296683X,0
3363,089480829X,0
3363,1400032644,0
3363,155166576X,0
3363,1551668157,0
3363,1551668394,0
3363,1551668998,0
3363,1551669307,0
3363,155874262X,0
3363,1558743316,0
3363,1558743790,0
3363,1558744029,0
3363,1558744150,0
3363,155874424X,0
3363,1558744606,0
3363,1558744630,0
3363,1558745017,0
3363,1558746099,0
3363,1558746463,0
3363,1558747028,0
3363,1558747060,0
3363,1558747109,0
3363,1565075722,0
3363,1565122968,0
3363,1573229385,0
3363,1575665379,0
3363,1576730360,0
3363,1576738167,0
3363,1580082319,0
4017,006000438X,10
4017,006093090X,10
4017,014028009X,9
4017,015600710X,10
4017,034543739X,0
4017,037570504X,10
4017,038072975X,8
4017,038533334X,10
4017,059035342X,0
4017,067976402X,10
4017,068480087X,10
4017,068484267X,10
4017,068484477X,5
4017,1401300901,0
4017,1558746161,10
4017,1565122968,10
4017,1573225789,9
4017,1573228281,9
4017,1931561648,0
6242,006000438X,6
6242,037570745X,7
6242,038542017X,7
6242,039592720X,5
6242,067976402X,8
6242,068480087X,6
6242,068482499X,6
6242,068484267X,8
6242,068484477X,8
6242,1573225789,7
6242,1573227331,6
6242,1573228214,6
6242,1573228281,7
6242,1573229326,6
6242,1853262714,7
6251,006101351X,0
6251,006440031X,0
6251,014017737X,9
6251,015602943X,10
6251,034538475X,0
6251,034540288X,0
6251,034542705X,0
6251,038550120X,0
6251,038550926X,0
6251,039480001X,10
6251,042518336X,0
6251,042519485X,8
6251,043935806X,9
6251,044020562X,0
6251,044021145X,0
6251,044022103X,0
6251,044661193X,0
6251,044990928X,0
6251,055328942X,0
6251,059030271X,0
6251,059035342X,0
6251,067088300X,0
6251,067150987X,10
6251,067944999X,0
6251,067976397X,0
6251,067976402X,8
6251,068484267X,8
6251,080410526X,0
6251,080410753X,0
6251,080411109X,0
6251,080411935X,0
6251,081297106X,0
6251,082177512X,0
6251,1400031354,0
6251,1400031362,0
6251,140003180X,0
6251,1400032717,10
6251,1400034779,0
6251,1400045088,10
6251,1551667215,0
6251,1551668459,0
6251,1555910807,0
6251,1558531025,0
6251,1573221937,0
6251,157322202X,0
6251,1573222453,0
6251,1573229571,0
6251,1573229628,0
6251,1844261085,0
6543,006039384X,0
6543,014025448X,8
6543,014028009X,0
6543,034545104X,0
6543,037570485X,0
6543,038072975X,8
6543,038548951X,10
6543,044021873X,0
6543,055356773X,6
6543,060980619X,7
6543,060980877X,0
6543,067976397X,7
6543,089480829X,0
6543,1400031346,6
6543,1400031354,7
6543,1400031362,8
6543,1563898586,8
6543,1573225789,9
6543,1841954608,6
6543,1853260401,0
6543,193156146X,0
6563,006103004X,0
6563,014100018X,0
6563,034541389X,0
6563,034542705X,0
6563,038079487X,0
6563,039915079X,0
6563,043935806X,10
6563,044022103X,0
6563,044023672X,0
6563,055327824X,0
6563,059035342X,8
6563,067164257X,0
6563,080411918X,0
6563,1400031346,8
6563,1558744592,0
6563,1558745017,5
6563,1558746226,5
6575,006000438X,9
6575,014018869X,8
6575,014028009X,4
6575,014029628X,7
6575,015100692X,0
6575,015602943X,10
6575,015640057X,7
6575,015670160X,0
6575,031298328X,0
6575,034536676X,7
6575,037541309X,9
6575,037542217X,9
6575,037570485X,9
6575,037570924X,0
6575,038071843X,0
6575,038076654X,0
6575,038533334X,4
6575,038533494X,0
6575,038542017X,0
6575,038549744X,9
6575,038572179X,0
6575,039304016X,0
6575,039914675X,0
6575,042511774X,0
6575,042513699X,5
6575,043935806X,0
6575,044022103X,0
6575,044651862X,0
6575,044661193X,0
6575,044990542X,0
6575,052594527X,0
6575,067975833X,0
6575,067976402X,7
6575,068480087X,0
6575,068482440X,0
6575,068484267X,9
6575,068484477X,0
6575,078688908X,0
6575,080410526X,5
6575,080410753X,8
6575,080411109X,0
6575,080411868X,0
